HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season
Arsenal,Man United,2,0,H,E0_2019.csv
Liverpool,Sheffield United,2,0,H,E0_2019.csv
Sheffield United,West Ham,1,0,H,E0_2019.csv
Crystal Palace,Arsenal,1,1,D,E0_2019.csv
Chelsea,Burnley,3,0,H,E0_2019.csv
Everton,Brighton,1,0,H,E0_2019.csv
Leicester,Southampton,1,2,A,E0_2019.csv
Man United,Norwich,4,0,H,E0_2019.csv
Wolves,Newcastle,1,1,D,E0_2019.csv
Tottenham,Liverpool,0,1,A,E0_2019.csv
Bournemouth,Watford,0,3,A,E0_2019.csv
Aston Villa,Man City,1,6,A,E0_2019.csv
Watford,Tottenham,0,0,D,E0_2019.csv
Arsenal,Sheffield United,1,1,D,E0_2019.csv
Brighton,Aston Villa,1,1,D,E0_2019.csv
Man City,Crystal Palace,2,2,D,E0_2019.csv
Norwich,Bournemouth,1,0,H,E0_2019.csv
Southampton,Wolves,2,3,A,E0_2019.csv
West Ham,Everton,1,1,D,E0_2019.csv
Newcastle,Chelsea,1,0,H,E0_2019.csv
Burnley,Leicester,2,1,H,E0_2019.csv
Liverpool,Man United,2,0,H,E0_2019.csv
Aston Villa,Watford,2,1,H,E0_2019.csv
Bournemouth,Brighton,3,1,H,E0_2019.csv
Crystal Palace,Southampton,0,2,A,E0_2019.csv
Everton,Newcastle,2,2,D,E0_2019.csv
Sheffield United,Man City,0,1,A,E0_2019.csv
Chelsea,Arsenal,2,2,D,E0_2019.csv
Leicester,West Ham,4,1,H,E0_2019.csv
Tottenham,Norwich,2,1,H,E0_2019.csv
Man United,Burnley,0,2,A,E0_2019.csv
Wolves,Liverpool,1,2,A,E0_2019.csv
West Ham,Liverpool,0,2,A,E0_2019.csv
Leicester,Chelsea,2,2,D,E0_2019.csv
Bournemouth,Aston Villa,2,1,H,E0_2019.csv
Crystal Palace,Sheffield United,0,1,A,E0_2019.csv
Liverpool,Southampton,4,0,H,E0_2019.csv
Newcastle,Norwich,0,0,D,E0_2019.csv
Watford,Everton,2,3,A,E0_2019.csv
West Ham,Brighton,3,3,D,E0_2019.csv
Man United,Wolves,0,0,D,E0_2019.csv
Burnley,Arsenal,0,0,D,E0_2019.csv
Tottenham,Man City,2,0,H,E0_2019.csv
Everton,Crystal Palace,3,1,H,E0_2019.csv
Brighton,Watford,1,1,D,E0_2019.csv
Sheffield United,Bournemouth,2,1,H,E0_2019.csv
Wolves,Leicester,0,0,D,E0_2019.csv
Southampton,Burnley,1,2,A,E0_2019.csv
Norwich,Liverpool,0,1,A,E0_2019.csv
Aston Villa,Tottenham,2,3,A,E0_2019.csv
Arsenal,Newcastle,4,0,H,E0_2019.csv
Chelsea,Man United,0,2,A,E0_2019.csv
Man City,West Ham,2,0,H,E0_2019.csv
Chelsea,Tottenham,2,1,H,E0_2019.csv
Burnley,Bournemouth,3,0,H,E0_2019.csv
Crystal Palace,Newcastle,1,0,H,E0_2019.csv
Sheffield United,Brighton,1,1,D,E0_2019.csv
Southampton,Aston Villa,2,0,H,E0_2019.csv
Leicester,Man City,0,1,A,E0_2019.csv
Man United,Watford,3,0,H,E0_2019.csv
Wolves,Norwich,3,0,H,E0_2019.csv
Arsenal,Everton,3,2,H,E0_2019.csv
Liverpool,West Ham,3,2,H,E0_2019.csv
Norwich,Leicester,1,0,H,E0_2019.csv
Brighton,Crystal Palace,0,1,A,E0_2019.csv
Bournemouth,Chelsea,2,2,D,E0_2019.csv
Newcastle,Burnley,0,0,D,E0_2019.csv
West Ham,Southampton,3,1,H,E0_2019.csv
Watford,Liverpool,3,0,H,E0_2019.csv
Everton,Man United,1,1,D,E0_2019.csv
Tottenham,Wolves,2,3,A,E0_2019.csv
Liverpool,Bournemouth,2,1,H,E0_2019.csv
Arsenal,West Ham,1,0,H,E0_2019.csv
Crystal Palace,Watford,1,0,H,E0_2019.csv
Sheffield United,Norwich,1,0,H,E0_2019.csv
Southampton,Newcastle,0,1,A,E0_2019.csv
Wolves,Brighton,0,0,D,E0_2019.csv
Burnley,Tottenham,1,1,D,E0_2019.csv
Chelsea,Everton,4,0,H,E0_2019.csv
Man United,Man City,2,0,H,E0_2019.csv
Leicester,Aston Villa,4,0,H,E0_2019.csv
Aston Villa,Sheffield United,0,0,D,E0_2019.csv
Man City,Arsenal,3,0,H,E0_2019.csv
Norwich,Southampton,0,3,A,E0_2019.csv
Tottenham,Man United,1,1,D,E0_2019.csv
Watford,Leicester,1,1,D,E0_2019.csv
Brighton,Arsenal,2,1,H,E0_2019.csv
West Ham,Wolves,0,2,A,E0_2019.csv
Bournemouth,Crystal Palace,0,2,A,E0_2019.csv
Newcastle,Sheffield United,3,0,H,E0_2019.csv
Aston Villa,Chelsea,1,2,A,E0_2019.csv
Everton,Liverpool,0,0,D,E0_2019.csv
Man City,Burnley,5,0,H,E0_2019.csv
Leicester,Brighton,0,0,D,E0_2019.csv
Tottenham,West Ham,2,0,H,E0_2019.csv
Man United,Sheffield United,3,0,H,E0_2019.csv
Newcastle,Aston Villa,1,1,D,E0_2019.csv
Norwich,Everton,0,1,A,E0_2019.csv
Wolves,Bournemouth,1,0,H,E0_2019.csv
Liverpool,Crystal Palace,4,0,H,E0_2019.csv
Burnley,Watford,1,0,H,E0_2019.csv
Southampton,Arsenal,0,2,A,E0_2019.csv
Chelsea,Man City,2,1,H,E0_2019.csv
Aston Villa,Wolves,0,1,A,E0_2019.csv
Watford,Southampton,1,3,A,E0_2019.csv
Crystal Palace,Burnley,0,1,A,E0_2019.csv
Brighton,Man United,0,3,A,E0_2019.csv
Arsenal,Norwich,4,0,H,E0_2019.csv
Bournemouth,Newcastle,1,4,A,E0_2019.csv
Everton,Leicester,2,1,H,E0_2019.csv
West Ham,Chelsea,3,2,H,E0_2019.csv
Sheffield United,Tottenham,3,1,H,E0_2019.csv
Man City,Liverpool,4,0,H,E0_2019.csv
Norwich,Brighton,0,1,A,E0_2019.csv
Leicester,Crystal Palace,3,0,H,E0_2019.csv
Man United,Bournemouth,5,2,H,E0_2019.csv
Wolves,Arsenal,0,2,A,E0_2019.csv
Chelsea,Watford,3,0,H,E0_2019.csv
Burnley,Sheffield United,1,1,D,E0_2019.csv
Newcastle,West Ham,2,2,D,E0_2019.csv
Liverpool,Aston Villa,2,0,H,E0_2019.csv
Southampton,Man City,1,0,H,E0_2019.csv
Tottenham,Everton,1,0,H,E0_2019.csv
Crystal Palace,Chelsea,2,3,A,E0_2019.csv
Watford,Norwich,2,1,H,E0_2019.csv
Arsenal,Leicester,1,1,D,E0_2019.csv
Man City,Newcastle,5,0,H,E0_2019.csv
Sheffield United,Wolves,1,0,H,E0_2019.csv
West Ham,Burnley,0,1,A,E0_2019.csv
Brighton,Liverpool,1,3,A,E0_2019.csv
Bournemouth,Tottenham,0,0,D,E0_2019.csv
Everton,Southampton,1,1,D,E0_2019.csv
Aston Villa,Man United,0,3,A,E0_2019.csv
Norwich,West Ham,0,4,A,E0_2019.csv
Watford,Newcastle,2,1,H,E0_2019.csv
Liverpool,Burnley,1,1,D,E0_2019.csv
Sheffield United,Chelsea,3,0,H,E0_2019.csv
Brighton,Man City,0,5,A,E0_2019.csv
Wolves,Everton,3,0,H,E0_2019.csv
Aston Villa,Crystal Palace,2,0,H,E0_2019.csv
Tottenham,Arsenal,2,1,H,E0_2019.csv
Bournemouth,Leicester,4,1,H,E0_2019.csv
Man United,Southampton,2,2,D,E0_2019.csv
Chelsea,Norwich,1,0,H,E0_2019.csv
Burnley,Wolves,1,1,D,E0_2019.csv
Man City,Bournemouth,2,1,H,E0_2019.csv
Newcastle,Tottenham,1,3,A,E0_2019.csv
Arsenal,Liverpool,2,1,H,E0_2019.csv
Everton,Aston Villa,1,1,D,E0_2019.csv
Leicester,Sheffield United,2,0,H,E0_2019.csv
Crystal Palace,Man United,0,2,A,E0_2019.csv
Southampton,Brighton,1,1,D,E0_2019.csv
West Ham,Watford,3,1,H,E0_2019.csv
Norwich,Burnley,0,2,A,E0_2019.csv
Bournemouth,Southampton,0,2,A,E0_2019.csv
Tottenham,Leicester,3,0,H,E0_2019.csv
Brighton,Newcastle,0,0,D,E0_2019.csv
Sheffield United,Everton,0,1,A,E0_2019.csv
Wolves,Crystal Palace,2,0,H,E0_2019.csv
Watford,Man City,0,4,A,E0_2019.csv
Aston Villa,Arsenal,1,0,H,E0_2019.csv
Man United,West Ham,1,1,D,E0_2019.csv
Liverpool,Chelsea,5,3,H,E0_2019.csv
Arsenal,Watford,3,2,H,E0_2019.csv
Burnley,Brighton,1,2,A,E0_2019.csv
Chelsea,Wolves,2,0,H,E0_2019.csv
Crystal Palace,Tottenham,1,1,D,E0_2019.csv
Everton,Bournemouth,1,3,A,E0_2019.csv
Leicester,Man United,0,2,A,E0_2019.csv
Man City,Norwich,5,0,H,E0_2019.csv
Newcastle,Liverpool,1,3,A,E0_2019.csv
Southampton,Sheffield United,3,1,H,E0_2019.csv
West Ham,Aston Villa,1,1,D,E0_2019.csv
Fulham,Arsenal,0,3,A,E0_2020.csv
Crystal Palace,Southampton,1,0,H,E0_2020.csv
Liverpool,Leeds,4,3,H,E0_2020.csv
West Ham,Newcastle,0,2,A,E0_2020.csv
West Brom,Leicester,0,3,A,E0_2020.csv
Tottenham,Everton,0,1,A,E0_2020.csv
Brighton,Chelsea,1,3,A,E0_2020.csv
Sheffield United,Wolves,0,2,A,E0_2020.csv
Everton,West Brom,5,2,H,E0_2020.csv
Leeds,Fulham,4,3,H,E0_2020.csv
Man United,Crystal Palace,1,3,A,E0_2020.csv
Arsenal,West Ham,2,1,H,E0_2020.csv
Southampton,Tottenham,2,5,A,E0_2020.csv
Newcastle,Brighton,0,3,A,E0_2020.csv
Chelsea,Liverpool,0,2,A,E0_2020.csv
Leicester,Burnley,4,2,H,E0_2020.csv
Aston Villa,Sheffield United,1,0,H,E0_2020.csv
Wolves,Man City,1,3,A,E0_2020.csv
Brighton,Man United,2,3,A,E0_2020.csv
Crystal Palace,Everton,1,2,A,E0_2020.csv
West Brom,Chelsea,3,3,D,E0_2020.csv
Burnley,Southampton,0,1,A,E0_2020.csv
Sheffield United,Leeds,0,1,A,E0_2020.csv
Tottenham,Newcastle,1,1,D,E0_2020.csv
Man City,Leicester,2,5,A,E0_2020.csv
West Ham,Wolves,4,0,H,E0_2020.csv
Fulham,Aston Villa,0,3,A,E0_2020.csv
Liverpool,Arsenal,3,1,H,E0_2020.csv
Chelsea,Crystal Palace,4,0,H,E0_2020.csv
Everton,Brighton,4,2,H,E0_2020.csv
Leeds,Man City,1,1,D,E0_2020.csv
Newcastle,Burnley,3,1,H,E0_2020.csv
Leicester,West Ham,0,3,A,E0_2020.csv
Southampton,West Brom,2,0,H,E0_2020.csv
Arsenal,Sheffield United,2,1,H,E0_2020.csv
Wolves,Fulham,1,0,H,E0_2020.csv
Man United,Tottenham,1,6,A,E0_2020.csv
Aston Villa,Liverpool,7,2,H,E0_2020.csv
Everton,Liverpool,2,2,D,E0_2020.csv
Chelsea,Southampton,3,3,D,E0_2020.csv
Man City,Arsenal,1,0,H,E0_2020.csv
Newcastle,Man United,1,4,A,E0_2020.csv
Sheffield United,Fulham,1,1,D,E0_2020.csv
Crystal Palace,Brighton,1,1,D,E0_2020.csv
Tottenham,West Ham,3,3,D,E0_2020.csv
Leicester,Aston Villa,0,1,A,E0_2020.csv
West Brom,Burnley,0,0,D,E0_2020.csv
Leeds,Wolves,0,1,A,E0_2020.csv
Aston Villa,Leeds,0,3,A,E0_2020.csv
West Ham,Man City,1,1,D,E0_2020.csv
Fulham,Crystal Palace,1,2,A,E0_2020.csv
Man United,Chelsea,0,0,D,E0_2020.csv
Liverpool,Sheffield United,2,1,H,E0_2020.csv
Southampton,Everton,2,0,H,E0_2020.csv
Wolves,Newcastle,1,1,D,E0_2020.csv
Arsenal,Leicester,0,1,A,E0_2020.csv
Brighton,West Brom,1,1,D,E0_2020.csv
Burnley,Tottenham,0,1,A,E0_2020.csv
Wolves,Crystal Palace,2,0,H,E0_2020.csv
Sheffield United,Man City,0,1,A,E0_2020.csv
Burnley,Chelsea,0,3,A,E0_2020.csv
Liverpool,West Ham,2,1,H,E0_2020.csv
Aston Villa,Southampton,3,4,A,E0_2020.csv
Newcastle,Everton,2,1,H,E0_2020.csv
Man United,Arsenal,0,1,A,E0_2020.csv
Tottenham,Brighton,2,1,H,E0_2020.csv
Fulham,West Brom,2,0,H,E0_2020.csv
Leeds,Leicester,1,4,A,E0_2020.csv
Brighton,Burnley,0,0,D,E0_2020.csv
Southampton,Newcastle,2,0,H,E0_2020.csv
Everton,Man United,1,3,A,E0_2020.csv
Crystal Palace,Leeds,4,1,H,E0_2020.csv
Chelsea,Sheffield United,4,1,H,E0_2020.csv
West Ham,Fulham,1,0,H,E0_2020.csv
West Brom,Tottenham,0,1,A,E0_2020.csv
Leicester,Wolves,1,0,H,E0_2020.csv
Man City,Liverpool,1,1,D,E0_2020.csv
Arsenal,Aston Villa,0,3,A,E0_2020.csv
Newcastle,Chelsea,0,2,A,E0_2020.csv
Aston Villa,Brighton,1,2,A,E0_2020.csv
Tottenham,Man City,2,0,H,E0_2020.csv
Man United,West Brom,1,0,H,E0_2020.csv
Fulham,Everton,2,3,A,E0_2020.csv
Sheffield United,West Ham,0,1,A,E0_2020.csv
Leeds,Arsenal,0,0,D,E0_2020.csv
Liverpool,Leicester,3,0,H,E0_2020.csv
Burnley,Crystal Palace,1,0,H,E0_2020.csv
Wolves,Southampton,1,1,D,E0_2020.csv
Crystal Palace,Newcastle,0,2,A,E0_2020.csv
Brighton,Liverpool,1,1,D,E0_2020.csv
Man City,Burnley,5,0,H,E0_2020.csv
Everton,Leeds,0,1,A,E0_2020.csv
West Brom,Sheffield United,1,0,H,E0_2020.csv
Southampton,Man United,2,3,A,E0_2020.csv
Chelsea,Tottenham,0,0,D,E0_2020.csv
Arsenal,Wolves,1,2,A,E0_2020.csv
Leicester,Fulham,1,2,A,E0_2020.csv
West Ham,Aston Villa,2,1,H,E0_2020.csv
Burnley,Everton,1,1,D,E0_2020.csv
Man City,Fulham,2,0,H,E0_2020.csv
West Ham,Man United,1,3,A,E0_2020.csv
Chelsea,Leeds,3,1,H,E0_2020.csv
West Brom,Crystal Palace,1,5,A,E0_2020.csv
Sheffield United,Leicester,1,2,A,E0_2020.csv
Tottenham,Arsenal,2,0,H,E0_2020.csv
Liverpool,Wolves,4,0,H,E0_2020.csv
Brighton,Southampton,1,2,A,E0_2020.csv
Leeds,West Ham,1,2,A,E0_2020.csv
Wolves,Aston Villa,0,1,A,E0_2020.csv
Newcastle,West Brom,2,1,H,E0_2020.csv
Man United,Man City,0,0,D,E0_2020.csv
Everton,Chelsea,1,0,H,E0_2020.csv
Southampton,Sheffield United,3,0,H,E0_2020.csv
Crystal Palace,Tottenham,1,1,D,E0_2020.csv
Fulham,Liverpool,1,1,D,E0_2020.csv
Arsenal,Burnley,0,1,A,E0_2020.csv
Leicester,Brighton,3,0,H,E0_2020.csv
Wolves,Chelsea,2,1,H,E0_2020.csv
Man City,West Brom,1,1,D,E0_2020.csv
Arsenal,Southampton,1,1,D,E0_2020.csv
Leeds,Newcastle,5,2,H,E0_2020.csv
Leicester,Everton,0,2,A,E0_2020.csv
Fulham,Brighton,0,0,D,E0_2020.csv
Liverpool,Tottenham,2,1,H,E0_2020.csv
West Ham,Crystal Palace,1,1,D,E0_2020.csv
Aston Villa,Burnley,0,0,D,E0_2020.csv
Sheffield United,Man United,2,3,A,E0_2020.csv
Crystal Palace,Liverpool,0,7,A,E0_2020.csv
Southampton,Man City,0,1,A,E0_2020.csv
Everton,Arsenal,2,1,H,E0_2020.csv
Newcastle,Fulham,1,1,D,E0_2020.csv
Brighton,Sheffield United,1,1,D,E0_2020.csv
Tottenham,Leicester,0,2,A,E0_2020.csv
Man United,Leeds,6,2,H,E0_2020.csv
West Brom,Aston Villa,0,3,A,E0_2020.csv
Burnley,Wolves,2,1,H,E0_2020.csv
Chelsea,West Ham,3,0,H,E0_2020.csv
Leicester,Man United,2,2,D,E0_2020.csv
Aston Villa,Crystal Palace,3,0,H,E0_2020.csv
Fulham,Southampton,0,0,D,E0_2020.csv
Arsenal,Chelsea,3,1,H,E0_2020.csv
Man City,Newcastle,2,0,H,E0_2020.csv
Sheffield United,Everton,0,1,A,E0_2020.csv
Leeds,Burnley,1,0,H,E0_2020.csv
West Ham,Brighton,2,2,D,E0_2020.csv
Liverpool,West Brom,1,1,D,E0_2020.csv
Wolves,Tottenham,1,1,D,E0_2020.csv
Crystal Palace,Leicester,1,1,D,E0_2020.csv
Chelsea,Aston Villa,1,1,D,E0_2020.csv
Brighton,Arsenal,0,1,A,E0_2020.csv
Burnley,Sheffield United,1,0,H,E0_2020.csv
Southampton,West Ham,0,0,D,E0_2020.csv
West Brom,Leeds,0,5,A,E0_2020.csv
Man United,Wolves,1,0,H,E0_2020.csv
Newcastle,Liverpool,0,0,D,E0_2020.csv
Everton,West Ham,0,1,A,E0_2020.csv
Man United,Aston Villa,2,1,H,E0_2020.csv
Tottenham,Leeds,3,0,H,E0_2020.csv
Crystal Palace,Sheffield United,2,0,H,E0_2020.csv
Brighton,Wolves,3,3,D,E0_2020.csv
West Brom,Arsenal,0,4,A,E0_2020.csv
Newcastle,Leicester,1,2,A,E0_2020.csv
Chelsea,Man City,1,3,A,E0_2020.csv
Southampton,Liverpool,1,0,H,E0_2020.csv
Sheffield United,Newcastle,1,0,H,E0_2020.csv
Burnley,Man United,0,1,A,E0_2020.csv
Wolves,Everton,1,2,A,E0_2020.csv
Man City,Brighton,1,0,H,E0_2020.csv
Tottenham,Fulham,1,1,D,E0_2020.csv
Arsenal,Crystal Palace,0,0,D,E0_2020.csv
Wolves,West Brom,2,3,A,E0_2020.csv
Leeds,Brighton,0,1,A,E0_2020.csv
West Ham,Burnley,1,0,H,E0_2020.csv
Fulham,Chelsea,0,1,A,E0_2020.csv
Leicester,Southampton,2,0,H,E0_2020.csv
Sheffield United,Tottenham,1,3,A,E0_2020.csv
Liverpool,Man United,0,0,D,E0_2020.csv
Man City,Crystal Palace,4,0,H,E0_2020.csv
Arsenal,Newcastle,3,0,H,E0_2020.csv
West Ham,West Brom,2,1,H,E0_2020.csv
Leicester,Chelsea,2,0,H,E0_2020.csv
Man City,Aston Villa,2,0,H,E0_2020.csv
Fulham,Man United,1,2,A,E0_2020.csv
Liverpool,Burnley,0,1,A,E0_2020.csv
Aston Villa,Newcastle,2,0,H,E0_2020.csv
Crystal Palace,West Ham,2,3,A,E0_2020.csv
Newcastle,Leeds,1,2,A,E0_2020.csv
Southampton,Arsenal,1,3,A,E0_2020.csv
West Brom,Man City,0,5,A,E0_2020.csv
Burnley,Aston Villa,3,2,H,E0_2020.csv
Chelsea,Wolves,0,0,D,E0_2020.csv
Brighton,Fulham,0,0,D,E0_2020.csv
Everton,Leicester,1,1,D,E0_2020.csv
Man United,Sheffield United,1,2,A,E0_2020.csv
Tottenham,Liverpool,1,3,A,E0_2020.csv
Everton,Newcastle,0,2,A,E0_2020.csv
Crystal Palace,Wolves,1,0,H,E0_2020.csv
Man City,Sheffield United,1,0,H,E0_2020.csv
West Brom,Fulham,2,2,D,E0_2020.csv
Arsenal,Man United,0,0,D,E0_2020.csv
Southampton,Aston Villa,0,1,A,E0_2020.csv
Chelsea,Burnley,2,0,H,E0_2020.csv
Leicester,Leeds,1,3,A,E0_2020.csv
West Ham,Liverpool,1,3,A,E0_2020.csv
Brighton,Tottenham,1,0,H,E0_2020.csv
Sheffield United,West Brom,2,1,H,E0_2020.csv
Wolves,Arsenal,2,1,H,E0_2020.csv
Man United,Southampton,9,0,H,E0_2020.csv
Newcastle,Crystal Palace,1,2,A,E0_2020.csv
Burnley,Man City,0,2,A,E0_2020.csv
Fulham,Leicester,0,2,A,E0_2020.csv
Leeds,Everton,1,2,A,E0_2020.csv
Aston Villa,West Ham,1,3,A,E0_2020.csv
Liverpool,Brighton,0,1,A,E0_2020.csv
Tottenham,Chelsea,0,1,A,E0_2020.csv
Aston Villa,Arsenal,1,0,H,E0_2020.csv
Burnley,Brighton,1,1,D,E0_2020.csv
Newcastle,Southampton,3,2,H,E0_2020.csv
Fulham,West Ham,0,0,D,E0_2020.csv
Man United,Everton,3,3,D,E0_2020.csv
Tottenham,West Brom,2,0,H,E0_2020.csv
Wolves,Leicester,0,0,D,E0_2020.csv
Liverpool,Man City,1,4,A,E0_2020.csv
Sheffield United,Chelsea,1,2,A,E0_2020.csv
Leeds,Crystal Palace,2,0,H,E0_2020.csv
Leicester,Liverpool,3,1,H,E0_2020.csv
Crystal Palace,Burnley,0,3,A,E0_2020.csv
Man City,Tottenham,3,0,H,E0_2020.csv
Brighton,Aston Villa,0,0,D,E0_2020.csv
Southampton,Wolves,1,2,A,E0_2020.csv
West Brom,Man United,1,1,D,E0_2020.csv
Arsenal,Leeds,4,2,H,E0_2020.csv
Everton,Fulham,0,2,A,E0_2020.csv
West Ham,Sheffield United,3,0,H,E0_2020.csv
Chelsea,Newcastle,2,0,H,E0_2020.csv
Burnley,Fulham,1,1,D,E0_2020.csv
Everton,Man City,1,3,A,E0_2020.csv
Wolves,Leeds,1,0,H,E0_2020.csv
Southampton,Chelsea,1,1,D,E0_2020.csv
Burnley,West Brom,0,0,D,E0_2020.csv
Liverpool,Everton,0,2,A,E0_2020.csv
Fulham,Sheffield United,1,0,H,E0_2020.csv
West Ham,Tottenham,2,1,H,E0_2020.csv
Aston Villa,Leicester,1,2,A,E0_2020.csv
Arsenal,Man City,0,1,A,E0_2020.csv
Man United,Newcastle,3,1,H,E0_2020.csv
Brighton,Crystal Palace,1,2,A,E0_2020.csv
Leeds,Southampton,3,0,H,E0_2020.csv
Man City,West Ham,2,1,H,E0_2020.csv
West Brom,Brighton,1,0,H,E0_2020.csv
Leeds,Aston Villa,0,1,A,E0_2020.csv
Newcastle,Wolves,1,1,D,E0_2020.csv
Crystal Palace,Fulham,0,0,D,E0_2020.csv
Leicester,Arsenal,1,3,A,E0_2020.csv
Tottenham,Burnley,4,0,H,E0_2020.csv
Chelsea,Man United,0,0,D,E0_2020.csv
Sheffield United,Liverpool,0,2,A,E0_2020.csv
Everton,Southampton,1,0,H,E0_2020.csv
Man City,Wolves,4,1,H,E0_2020.csv
Burnley,Leicester,1,1,D,E0_2020.csv
Sheffield United,Aston Villa,1,0,H,E0_2020.csv
Crystal Palace,Man United,0,0,D,E0_2020.csv
Fulham,Tottenham,0,1,A,E0_2020.csv
West Brom,Everton,0,1,A,E0_2020.csv
Liverpool,Chelsea,0,1,A,E0_2020.csv
Burnley,Arsenal,1,1,D,E0_2020.csv
Sheffield United,Southampton,0,2,A,E0_2020.csv
Aston Villa,Wolves,0,0,D,E0_2020.csv
Brighton,Leicester,1,2,A,E0_2020.csv
West Brom,Newcastle,0,0,D,E0_2020.csv
Liverpool,Fulham,0,1,A,E0_2020.csv
Man City,Man United,0,2,A,E0_2020.csv
Tottenham,Crystal Palace,4,1,H,E0_2020.csv
Chelsea,Everton,2,0,H,E0_2020.csv
West Ham,Leeds,2,0,H,E0_2020.csv
Man City,Southampton,5,2,H,E0_2020.csv
Newcastle,Aston Villa,1,1,D,E0_2020.csv
Leeds,Chelsea,0,0,D,E0_2020.csv
Crystal Palace,West Brom,1,0,H,E0_2020.csv
Everton,Burnley,1,2,A,E0_2020.csv
Fulham,Man City,0,3,A,E0_2020.csv
Southampton,Brighton,1,2,A,E0_2020.csv
Leicester,Sheffield United,5,0,H,E0_2020.csv
Arsenal,Tottenham,2,1,H,E0_2020.csv
Man United,West Ham,1,0,H,E0_2020.csv
Wolves,Liverpool,0,1,A,E0_2020.csv
Fulham,Leeds,1,2,A,E0_2020.csv
Brighton,Newcastle,3,0,H,E0_2020.csv
West Ham,Arsenal,3,3,D,E0_2020.csv
Aston Villa,Tottenham,0,2,A,E0_2020.csv
Chelsea,West Brom,2,5,A,E0_2020.csv
Leeds,Sheffield United,2,1,H,E0_2020.csv
Leicester,Man City,0,2,A,E0_2020.csv
Arsenal,Liverpool,0,3,A,E0_2020.csv
Southampton,Burnley,3,2,H,E0_2020.csv
Newcastle,Tottenham,2,2,D,E0_2020.csv
Aston Villa,Fulham,3,1,H,E0_2020.csv
Man United,Brighton,2,1,H,E0_2020.csv
Everton,Crystal Palace,1,1,D,E0_2020.csv
Wolves,West Ham,2,3,A,E0_2020.csv
Fulham,Wolves,0,1,A,E0_2020.csv
Man City,Leeds,1,2,A,E0_2020.csv
Liverpool,Aston Villa,2,1,H,E0_2020.csv
Crystal Palace,Chelsea,1,4,A,E0_2020.csv
Burnley,Newcastle,1,2,A,E0_2020.csv
West Ham,Leicester,3,2,H,E0_2020.csv
Tottenham,Man United,1,3,A,E0_2020.csv
Sheffield United,Arsenal,0,3,A,E0_2020.csv
West Brom,Southampton,3,0,H,E0_2020.csv
Brighton,Everton,0,0,D,E0_2020.csv
Everton,Tottenham,2,2,D,E0_2020.csv
Newcastle,West Ham,3,2,H,E0_2020.csv
Wolves,Sheffield United,1,0,H,E0_2020.csv
Arsenal,Fulham,1,1,D,E0_2020.csv
Man United,Burnley,3,1,H,E0_2020.csv
Leeds,Liverpool,1,1,D,E0_2020.csv
Chelsea,Brighton,0,0,D,E0_2020.csv
Tottenham,Southampton,2,1,H,E0_2020.csv
Aston Villa,Man City,1,2,A,E0_2020.csv
Leicester,West Brom,3,0,H,E0_2020.csv
Arsenal,Everton,0,1,A,E0_2020.csv
Liverpool,Newcastle,1,1,D,E0_2020.csv
West Ham,Chelsea,0,1,A,E0_2020.csv
Sheffield United,Brighton,1,0,H,E0_2020.csv
Wolves,Burnley,0,4,A,E0_2020.csv
Leeds,Man United,0,0,D,E0_2020.csv
Aston Villa,West Brom,2,2,D,E0_2020.csv
Leicester,Crystal Palace,2,1,H,E0_2020.csv
Southampton,Leicester,1,1,D,E0_2020.csv
Crystal Palace,Man City,0,2,A,E0_2020.csv
Brighton,Leeds,2,0,H,E0_2020.csv
Chelsea,Fulham,2,0,H,E0_2020.csv
Everton,Aston Villa,1,2,A,E0_2020.csv
Newcastle,Arsenal,0,2,A,E0_2020.csv
Tottenham,Sheffield United,4,0,H,E0_2020.csv
West Brom,Wolves,1,1,D,E0_2020.csv
Burnley,West Ham,1,2,A,E0_2020.csv
Leicester,Newcastle,2,4,A,E0_2020.csv
Leeds,Tottenham,3,1,H,E0_2020.csv
Sheffield United,Crystal Palace,0,2,A,E0_2020.csv
Man City,Chelsea,1,2,A,E0_2020.csv
Liverpool,Southampton,2,0,H,E0_2020.csv
Wolves,Brighton,2,1,H,E0_2020.csv
Aston Villa,Man United,1,3,A,E0_2020.csv
West Ham,Everton,0,1,A,E0_2020.csv
Arsenal,West Brom,3,1,H,E0_2020.csv
Fulham,Burnley,0,2,A,E0_2020.csv
Man United,Leicester,1,2,A,E0_2020.csv
Southampton,Crystal Palace,3,1,H,E0_2020.csv
Chelsea,Arsenal,0,1,A,E0_2020.csv
Aston Villa,Everton,0,0,D,E0_2020.csv
Man United,Liverpool,2,4,A,E0_2020.csv
Newcastle,Man City,3,4,A,E0_2020.csv
Burnley,Leeds,0,4,A,E0_2020.csv
Southampton,Fulham,3,1,H,E0_2020.csv
Brighton,West Ham,1,1,D,E0_2020.csv
Crystal Palace,Aston Villa,3,2,H,E0_2020.csv
Tottenham,Wolves,2,0,H,E0_2020.csv
West Brom,Liverpool,1,2,A,E0_2020.csv
Everton,Sheffield United,0,1,A,E0_2020.csv
Man United,Fulham,1,1,D,E0_2020.csv
Southampton,Leeds,0,2,A,E0_2020.csv
Brighton,Man City,3,2,H,E0_2020.csv
Chelsea,Leicester,2,1,H,E0_2020.csv
Everton,Wolves,1,0,H,E0_2020.csv
